,geneID,x,y,MIDCounts,newx,newy
10342191,Ccl24,6837,15394,1,3612,9219
10342192,Ccl24,12554,14864,1,9329,8689
10342193,Ccl24,6963,15541,3,3738,9366
10342194,Ccl24,6724,15792,1,3499,9617
10342195,Ccl24,5532,10319,1,2307,4144
10342196,Ccl24,9445,15504,1,6220,9329
10342197,Ccl24,7992,14772,1,4767,8597
10342198,Ccl24,6802,15402,1,3577,9227
10342199,Ccl24,5372,9358,2,2147,3183
10342200,Ccl24,7757,14819,1,4532,8644
10342201,Ccl24,6074,15624,1,2849,9449
10342202,Ccl24,6417,15327,1,3192,9152
10342203,Ccl24,6819,15371,1,3594,9196
10342204,Ccl24,9421,10449,1,6196,4274
10342205,Ccl24,7721,15401,4,4496,9226
10342206,Ccl24,8425,13157,1,5200,6982
10342207,Ccl24,6099,15625,1,2874,9450
10342208,Ccl24,6783,15413,1,3558,9238
10342209,Ccl24,8314,13399,2,5089,7224
10342210,Ccl24,10880,9550,3,7655,3375
10342211,Ccl24,8231,14894,1,5006,8719
10342212,Ccl24,7751,14836,1,4526,8661
10342213,Ccl24,8774,12431,2,5549,6256
10342214,Ccl24,5274,11128,2,2049,4953
10342215,Ccl24,9537,11438,2,6312,5263
10342216,Ccl24,5821,15697,1,2596,9522
10342217,Ccl24,5974,15710,2,2749,9535
10342218,Ccl24,4627,10905,1,1402,4730
10342219,Ccl24,12677,11816,1,9452,5641
10342220,Ccl24,6985,15318,1,3760,9143
10342221,Ccl24,10774,8662,1,7549,2487
10342222,Ccl24,6868,15404,1,3643,9229
10342223,Ccl24,6766,15522,2,3541,9347
10342224,Ccl24,6783,15418,3,3558,9243
10342225,Ccl24,9313,17587,2,6088,11412
10342226,Ccl24,6067,15640,1,2842,9465
10342227,Ccl24,7717,14840,4,4492,8665
10342228,Ccl24,3732,11507,4,507,5332
10342229,Ccl24,8372,13363,2,5147,7188
10729561,Cd74,8656,13490,1,5431,7315
10729562,Cd74,6335,16023,1,3110,9848
10729563,Cd74,8532,10647,4,5307,4472
10729564,Cd74,10539,8195,1,7314,2020
10729565,Cd74,9837,6919,3,6612,744
10729566,Cd74,5571,9307,1,2346,3132
10729567,Cd74,8195,16814,1,4970,10639
10729568,Cd74,9234,16386,1,6009,10211
10729569,Cd74,6049,15657,1,2824,9482
10729570,Cd74,4547,12912,1,1322,6737
10729571,Cd74,5709,16468,1,2484,10293
10729572,Cd74,12149,11561,1,8924,5386
10729573,Cd74,6261,9257,2,3036,3082
10729574,Cd74,7793,14883,4,4568,8708
10729575,Cd74,10994,16672,1,7769,10497
10729576,Cd74,12259,10283,1,9034,4108
10729577,Cd74,6617,8201,2,3392,2026
10729578,Cd74,5883,9262,1,2658,3087
10729579,Cd74,4145,10245,2,920,4070
10729580,Cd74,6998,15332,1,3773,9157
10729581,Cd74,4150,10241,4,925,4066
10729582,Cd74,7812,14826,1,4587,8651
10729583,Cd74,8197,13255,1,4972,7080
10729584,Cd74,8265,13420,1,5040,7245
10729585,Cd74,9116,12824,3,5891,6649
10729586,Cd74,7517,13061,1,4292,6886
10729587,Cd74,10469,7372,1,7244,1197
10729588,Cd74,6242,15811,2,3017,9636
10729589,Cd74,8410,6484,3,5185,309
10729590,Cd74,12879,9897,1,9654,3722
10729591,Cd74,6560,15158,1,3335,8983
10729592,Cd74,9973,8765,1,6748,2590
10729593,Cd74,6555,15474,2,3330,9299
10729594,Cd74,6509,14842,1,3284,8667
10729595,Cd74,6613,15897,4,3388,9722
10729596,Cd74,10104,8767,1,6879,2592
10729597,Cd74,5991,9324,1,2766,3149
10729598,Cd74,6252,9272,1,3027,3097
10729599,Cd74,7402,17857,2,4177,11682
10729600,Cd74,8718,12512,1,5493,6337
10729601,Cd74,6249,9235,1,3024,3060
10729602,Cd74,12854,10150,1,9629,3975
10729603,Cd74,6458,14745,1,3233,8570
10729604,Cd74,9977,10873,1,6752,4698
10729605,Cd74,9811,13671,3,6586,7496
10729606,Cd74,3859,12815,3,634,6640
10729607,Cd74,8339,13458,2,5114,7283
10729608,Cd74,13089,13325,1,9864,7150
10729609,Cd74,4149,10244,2,924,4069
10729610,Cd74,5425,14981,2,2200,8806
10729611,Cd74,4138,10238,3,913,4063
10729612,Cd74,9710,9105,1,6485,2930
10729613,Cd74,4142,10237,1,917,4062
10729614,Cd74,8496,14432,2,5271,8257
10729615,Cd74,9784,11797,2,6559,5622
10729616,Cd74,11882,9181,2,8657,3006
10729617,Cd74,9306,12928,3,6081,6753
10729618,Cd74,10997,7519,3,7772,1344
10729619,Cd74,9223,8593,1,5998,2418
10729620,Cd74,5659,9259,1,2434,3084
10729621,Cd74,4637,10286,2,1412,4111
10729622,Cd74,5705,9265,1,2480,3090
10729623,Cd74,6534,7180,4,3309,1005
10729624,Cd74,11057,6966,2,7832,791
10729625,Cd74,10267,16624,1,7042,10449
10729626,Cd74,10526,8216,3,7301,2041
10729627,Cd74,8895,14133,1,5670,7958
10729628,Cd74,5561,9320,2,2336,3145
10729629,Cd74,9257,10173,1,6032,3998
10729630,Cd74,7731,14939,1,4506,8764
10729631,Cd74,13151,10018,2,9926,3843
10729632,Cd74,6911,14583,4,3686,8408
10729633,Cd74,10915,7782,2,7690,1607
10729634,Cd74,6063,15212,4,2838,9037
10729635,Cd74,12396,15079,3,9171,8904
10729636,Cd74,9104,9351,4,5879,3176
10729637,Cd74,10396,8868,1,7171,2693
10729638,Cd74,10221,6434,1,6996,259
10729639,Cd74,9691,7977,1,6466,1802
10729640,Cd74,5879,15265,1,2654,9090
10729641,Cd74,9694,18014,1,6469,11839
10729642,Cd74,11004,15244,2,7779,9069
10729643,Cd74,7109,15724,3,3884,9549
10729644,Cd74,11557,13740,2,8332,7565
10729645,Cd74,5690,9271,1,2465,3096
10729646,Cd74,8046,14351,1,4821,8176
10729647,Cd74,10962,7859,2,7737,1684
10729648,Cd74,8550,15529,1,5325,9354
10729649,Cd74,8891,6563,2,5666,388
10729650,Cd74,13434,11054,1,10209,4879
10729651,Cd74,13068,13317,2,9843,7142
10729652,Cd74,5428,15154,2,2203,8979
10729653,Cd74,13364,13628,1,10139,7453
10729654,Cd74,4157,10254,2,932,4079
10729655,Cd74,8102,13865,1,4877,7690
10729656,Cd74,6407,7458,1,3182,1283
10729657,Cd74,7633,19539,2,4408,13364
10729658,Cd74,13396,12388,2,10171,6213
10729659,Cd74,13087,13321,2,9862,7146
10729660,Cd74,4318,10417,4,1093,4242
10729661,Cd74,8834,6681,2,5609,506
10729662,Cd74,11087,6965,1,7862,790
10729663,Cd74,9793,11904,3,6568,5729
10729664,Cd74,10341,6697,1,7116,522
10729665,Cd74,7802,14912,1,4577,8737
