"","barcodes","clusters"
"1","aaabbbak-1","15_MES"
"2","aaabckbh-1","15_MES"
"3","aaacccmp-1","16_PEC"
"4","aaadeoao-1","16_PEC"
"5","aaaeaihp-1","15_MES"
"6","aaaghkdm-1","5_PC"
"7","aaagnach-1","9_LOH"
"8","aaaijhfe-1","10_ENDO"
"9","aaaoenok-1","15_MES"
"10","aaaofeof-1","15_MES"
"11","aabgankn-1","15_MES"
"12","aabikbcc-1","5_PC"
"13","aabjiobj-1","15_MES"
"14","aabpihkh-1","15_MES"
"15","aacgcndl-1","15_MES"
"16","aacgmehf-1","5_PC"
"17","aaddakaa-1","15_MES"
"18","aaddcmfn-1","10_ENDO"
"19","aaddhndm-1","10_ENDO"
"20","aaddlldp-1","16_PEC"
"21","aadelgda-1","15_MES"
"22","aadfmjjn-1","5_PC"
"23","aadhjmak-1","5_PC"
"24","aadijbee-1","16_PEC"
"25","aadjidcn-1","16_PEC"
"26","aaeadhcd-1","5_PC"
"27","aaeanebp-1","15_MES"
"28","aaefidjk-1","15_MES"
"29","aaefopah-1","15_MES"
"30","aaejmimo-1","5_PC"
"31","aaekigmn-1","15_MES"
"32","aaeocajo-1","5_PC"
"33","aaeohhbk-1","15_MES"
"34","aafcoeoa-1","15_MES"
"35","aafejogk-1","10_ENDO"
"36","aafgcial-1","15_MES"
"37","aaficgki-1","2_PCT"
"38","aaficnno-1","15_MES"
"39","aaflofcp-1","9_LOH"
"40","aafnkgnf-1","2_PCT"
"41","aafnmcoi-1","10_ENDO"
"42","aagaefal-1","2_PCT"
"43","aagapmpb-1","2_PCT"
"44","aagbcego-1","9_LOH"
"45","aagbfdek-1","2_PCT"
"46","aagejpkf-1","12_POD"
"47","aagfgfem-1","15_MES"
"48","aaglmmfl-1","2_PCT"
"49","aahceknm-1","2_PCT"
"50","aahdhfhi-1","15_MES"
"51","aahgjdid-1","15_MES"
"52","aahlcnpf-1","2_PCT"
"53","aahlfheb-1","10_ENDO"
"54","aahlfpga-1","2_PCT"
"55","aahnhdea-1","2_PCT"
"56","aahnmahl-1","13_PCT-TAL"
"57","aahpaffc-1","16_PEC"
"58","aaiaiegj-1","23_LEU"
"59","aaicphdd-1","5_PC"
"60","aaidpopk-1","15_MES"
"61","aaienojl-1","5_PC"
"62","aaighegl-1","15_MES"
"63","aaiikooe-1","15_MES"
"64","aaikgdgm-1","0_TAL"
"65","aaikpkmc-1","20_PC"
"66","aaimjehf-1","15_MES"
"67","aaimopgd-1","15_MES"
"68","aaioamcc-1","6_DCT"
"69","aaiombph-1","15_MES"
"70","aaipikdf-1","15_MES"
"71","aajgfjdo-1","15_MES"
"72","aajgjjgo-1","5_PC"
"73","aajiaccn-1","5_PC"
"74","aajiidin-1","15_MES"
"75","aajjenje-1","5_PC"
"76","aajkdbbl-1","16_PEC"
"77","aajmolni-1","15_MES"
"78","aajnheje-1","0_TAL"
"79","aajobfcn-1","15_MES"
"80","aajoemla-1","2_PCT"
"81","aakgcpem-1","16_PEC"
"82","aakhcheb-1","2_PCT"
"83","aakiehkn-1","15_MES"
"84","aakjminh-1","15_MES"
"85","aakkdjkg-1","10_ENDO"
"86","aakkhcml-1","15_MES"
"87","aaknblen-1","23_LEU"
"88","aakobdda-1","23_LEU"
"89","aalakhhn-1","15_MES"
"90","aalfebcf-1","15_MES"
"91","aalnjacg-1","0_TAL"
"92","aambchhd-1","15_MES"
"93","aamdeglh-1","23_LEU"
"94","aamfkaln-1","23_LEU"
"95","aamhepce-1","23_LEU"
"96","aamkklba-1","23_LEU"
"97","aamlamlb-1","15_MES"
"98","aammaflj-1","23_LEU"
"99","aammbkog-1","2_PCT"
"100","aammpihh-1","15_MES"
"101","aanigcjd-1","15_MES"
"102","aanmiblm-1","16_PEC"
"103","aaobbjlf-1","16_PEC"
"104","aaoegppb-1","10_ENDO"
"105","aaolifjd-1","2_PCT"
"106","aaopkepe-1","10_ENDO"
"107","aapbogcn-1","4_TAL"
"108","aapedabj-1","15_MES"
"109","aapfighk-1","15_MES"
"110","aapheefb-1","15_MES"
"111","aapiddgd-1","15_MES"
"112","aapjnlcb-1","15_MES"
"113","aaplnoco-1","2_PCT"
"114","aapmabon-1","2_PCT"
"115","aapmndmi-1","0_TAL"
"116","abaadmjl-1","15_MES"
"117","abaailec-1","16_PEC"
"118","abaaogkp-1","16_PEC"
"119","ababfcmh-1","15_MES"
"120","abademhd-1","15_MES"
"121","abaglplh-1","15_MES"
"122","abahghgk-1","15_MES"
"123","abajdpim-1","15_MES"
"124","abamliah-1","16_PEC"
"125","abanbbea-1","16_PEC"
"126","abaocleo-1","15_MES"
"127","abappblf-1","10_ENDO"
"128","abbfnbmk-1","15_MES"
"129","abbkkecg-1","16_PEC"
"130","abbnamai-1","10_ENDO"
"131","abbnofel-1","9_LOH"
"132","abcfjjme-1","15_MES"
"133","abcjdfbi-1","9_LOH"
"134","abclghhb-1","9_LOH"
"135","abcokiim-1","15_MES"
"136","abdebbhc-1","10_ENDO"
"137","abdeimdj-1","15_MES"
"138","abdhcfno-1","15_MES"
"139","abdiddip-1","15_MES"
"140","abdimpil-1","15_MES"
"141","abdiohdl-1","0_TAL"
"142","abdljpff-1","15_MES"
"143","abdobbgj-1","15_MES"
"144","abdpafga-1","15_MES"
"145","abeeabik-1","10_ENDO"
"146","abefialh-1","10_ENDO"
"147","abegoifi-1","4_TAL"
"148","abejpcaf-1","15_MES"
"149","abekbeif-1","15_MES"
"150","abembdme-1","13_PCT-TAL"
"151","abembfjn-1","2_PCT"
"152","abemnlpm-1","2_PCT"
"153","abeoopkb-1","2_PCT"
"154","abfaaoio-1","2_PCT"
"155","abfcfofa-1","2_PCT"
"156","abfeaajp-1","13_PCT-TAL"
"157","abfeahme-1","13_PCT-TAL"
"158","abffhgge-1","2_PCT"
"159","abfkleag-1","13_PCT-TAL"
"160","abflloco-1","10_ENDO"
