Control-Non-glom,Control-Glom,IMQ-Non-glom,IMQ-Glom
10.33619880,16.00077230,22.758061100,27.87658830
13.39154140,26.05914370,22.415177000,25.66021600
13.50888880,19.33666390,21.708202600,25.21068830
14.38500690,15.55129970,20.519467700,25.08362920
16.77369550,22.41987790,20.229949900,25.07032310
18.32114310,17.25595040,20.219429800,24.94537870
18.81335510,18.81485810,19.941838200,24.10312600
19.00309330,15.91950800,19.423086600,23.53635570
19.53397040,15.94906830,18.648101600,23.23057020
20.19470800,19.45133090,18.299724300,23.17596800
20.76560180,19.40544640,18.134845200,23.10579440
21.53892310,21.39314970,16.496314400,23.08630100
21.79458380,19.33855990,16.219869800,23.05197570
21.94271270,26.24298450,15.833707000,22.99812310
22.58928220,17.79099940,15.792773400,22.96081720
22.81948120,22.08829080,15.755011500,22.14830960
23.07003750,23.22030970,15.719136200,22.08202940
23.21571420,21.58577210,15.126513100,21.82983400
23.44248730,22.70683400,15.121005400,21.73642780
23.87914620,28.34968320,14.738916600,21.64247390
24.08638480,19.72798950,14.547528600,21.58977690
24.30802240,23.31750970,14.155237100,21.15107210
24.79669890,20.91972790,14.097239300,20.31167820
24.87096770,28.17535180,12.178533100,20.08276770
25.36549870,23.31860380,11.814459700,20.00170610
21.87787870,12.75934310,17.292742600,25.31073110
18.29747680,13.99072800,26.412978300,23.38318560
17.22889150,14.02611680,16.339377400,22.92979590
18.70661430,14.49827930,17.081633000,22.45752350
14.91280620,14.91620050,26.469326900,22.19968680
23.85151460,15.40676420,18.312885600,21.91806370
18.77488060,15.80346280,17.167535600,21.57401240
24.59500330,15.98544070,19.286930900,21.57199360
18.10220590,16.11021940,17.853389900,21.54704810
26.26705240,16.45575790,19.277725200,21.06754210
18.47823480,16.62160800,15.735895900,20.17835200
20.33019590,16.84971830,16.936184500,19.93009950
16.67953040,17.05155610,17.263197900,19.75076150
18.75294610,17.14634580,15.077794300,19.16367790
16.29423560,17.23874480,18.214121300,19.01967570
19.98842070,17.95662480,18.046907900,18.96442580
7.21827089,18.13354360,17.563689500,18.89263310
14.71826320,18.61568150,19.793475100,18.83213830
18.13614580,18.71828490,16.261235600,18.82960420
16.44903300,19.09033630,16.362283000,18.81758020
21.32037270,19.25167720,23.032976200,18.71851500
8.91198816,20.34476410,19.267471900,18.71310870
16.09561290,20.92111090,17.689481900,18.62128530
14.43619600,20.96649660,19.462286600,18.26374650
14.80306230,21.24422630,15.550385600,18.17848980
20.11441640,16.31023080,13.379641700,28.32209860
26.53101790,11.97642000,27.616036500,26.35132120
27.45636080,21.48309810,21.573516800,26.22431720
16.57265620,15.22623060,21.739781900,25.31875790
15.89087060,13.31569970,27.085291100,24.30967850
24.55071360,14.70705270,18.262293000,24.21878020
18.90687520,19.92896540,22.594305200,23.09332620
27.08188730,15.43927960,21.946900500,22.61739450
15.76702760,17.65396470,20.147551100,22.24619280
21.14805120,19.34804390,20.217061900,22.24205760
16.64504050,14.71307700,19.022994300,21.64025480
20.61101430,17.85702330,15.611771200,21.12219080
14.62842940,15.79661450,11.898172100,20.79871790
15.20754720,17.05240090,11.476500800,20.75528360
16.41609240,18.45113650,14.775686400,20.32440280
27.69420930,17.17801940,15.852959200,20.19605840
8.54068063,17.67904310,19.075659000,19.92141830
15.46872720,20.15825750,21.981271700,19.83478100
15.36456830,21.45944260,20.977653500,19.71455490
14.91235180,17.99355230,16.693759200,19.47811960
20.90600200,20.49659140,17.842385700,19.25192080
11.49253780,20.43065790,14.630571400,19.15182980
26.45969940,22.62312150,15.769413500,18.83912000
12.09745690,23.72950100,13.268837500,18.35179050
14.48104090,20.85494870,18.139831200,18.22650800
