Control,Treated
1.09743769,1.84902606
1.28495161,1.62088734
1.16108438,1.47379095
1.48668030,1.78928193
1.47475656,0.94351953
1.43833324,2.97172933
0.91567377,0.81347838
0.80001474,0.97687425
1.45123961,0.90704603
1.40060345,1.29244062
1.34139725,2.11421243
1.11487342,0.88410046
1.16670418,1.40038939
1.40573522,1.28850009
1.06333794,1.31562213
1.08353181,1.73110816
1.35228578,1.86414945
1.37081283,0.95580036
1.25665006,1.10915473
1.13102286,1.37109882
1.37868872,1.94634887
0.98940281,1.03425070
0.95099133,1.10960511
1.31369129,0.72004653
1.13655946,1.14562756
1.45597723,0.91376730
1.17170067,0.71921498
2.24037425,1.60449267
1.18120564,1.75605975
1.32626907,0.64491312
1.42177933,1.15096688
1.32197927,0.56359128
1.73685398,1.64270559
1.26984597,1.34686439
1.23109941,1.10575045
0.84163248,0.80586570
0.72648272,2.47407331
1.18606673,1.34388590
1.05335710,0.85516207
1.14309348,1.00501092
1.30626397,1.11613364
1.18571244,1.74184605
0.93284791,1.16379462
0.98746463,1.03545877
1.44693948,2.53940787
1.04271359,1.01297273
1.07252056,1.06628553
0.89173971,2.37693294
1.16380220,0.96206730
1.24561365,1.15092903
0.72715738,0.80722723
1.37004716,1.15540844
1.33715509,0.87761648
1.09963922,1.01897643
1.57101687,0.82599181
1.21901319,1.02212135
1.23376074,0.95817459
1.30224831,1.45723979
0.98361256,0.95935811
1.11547158,1.07242685
0.97772387,3.50153701
1.22472029,2.82409476
1.55539647,2.20055685
1.24127928,2.09353642
0.94437852,2.05407086
1.65571812,2.04214106
1.00774978,2.03865282
1.31525725,1.94205352
1.38145981,1.91604497
0.81915550,1.89121520
0.86083797,1.82208090
0.77012686,1.81637858
0.95366768,1.79808745
1.13276488,1.77895122
1.41915126,1.74538443
1.91066013,1.74312054
1.09194720,1.66667275
1.20452772,1.65278425
0.98209251,1.60547014
1.04871736,1.59874819
0.90287811,1.56568113
0.92138170,1.55939628
1.11945912,1.53015058
1.35247215,1.52903168
1.43285581,1.49248038
1.28148402,1.48247341
1.20736863,1.45109760
1.28459607,1.42229639
1.31630414,1.40658921
1.75929314,1.39436428
