Control,Treated
0.44471053,1.00608473
,1.06583878
0.62768728,0.79157469
1.48748069,2.26720469
,0.81608091
1.04719343,1.03047799
0.96901346,0.63423229
1.17418106,0.37704296
,1.40618028
0.69654372,0.93660773
1.10156159,0.44881864
0.77525621,1.10195060
0.64349137,1.41838455
1.01596830,1.11476640
,0.43065216
,1.48097205
,1.07006646
0.94137255,0.42529257
0.68117946,0.49483290
0.72294525,0.62807943
0.85674485,0.64270014
0.84785649,1.80014902
0.67593676,0.50376867
1.21632659,0.74201503
1.03688716,1.93674310
1.07688273,1.00174501
0.77574241,0.74744414
0.95887542,2.19819990
0.69789385,0.72909545
0.68447702,1.00093915
0.83666198,0.86474006
1.20829442,0.88945534
0.75410315,0.90911980
0.62202667,1.25812500
1.50701602,0.99600772
0.75590848,0.99746245
0.70592276,1.25900032
0.97281915,1.00685619
0.84634848,1.03086889
0.72185035,0.91548111
0.74226224,1.09221496
0.50705744,0.91192221
0.75728624,1.01433008
0.63472201,1.45809384
0.98233057,0.98504001
1.01126553,0.59977228
0.55665864,0.78175759
1.19765359,0.82327012
0.65784291,1.51096740
0.62822500,0.89126504
1.05893094,0.80819640
1.13298261,0.67451581
1.25461132,3.21282745
1.47149635,0.64561229
1.21033016,1.52853195
1.35410301,1.65164507
1.13703707,2.13523512
1.37285860,0.93261066
1.34982982,0.97505031
1.17231163,1.23091012
1.66310463,2.01551922
0.88997406,1.69498925
1.45173624,2.33808380
1.16318500,1.47139712
1.15972489,1.75957017
1.45799201,1.44775166
1.05062980,1.65184085
1.41724519,2.43427597
0.92037908,1.62284389
1.15588918,1.99972111
1.53317795,1.68188509
0.73432346,2.74892005
1.60312475,1.34475943
1.35214463,1.48560180
1.64742866,2.52744901
