Control,Treated
0.91479497,0.93637493
0.67158454,1.11001146
0.62004567,1.02468338
1.16077873,1.21843852
0.76839804,0.98728976
1.19480786,0.95070727
1.05346241,1.13436607
1.40704939,0.98406259
0.73378156,1.05532732
1.04287400,1.09113854
0.70024014,0.96381890
0.90799457,1.13491621
1.03887059,1.10153445
1.03580284,1.19224418
1.30258822,0.74384659
1.13416108,0.81056206
1.02415564,1.00726319
0.99107092,0.94759294
1.15625873,0.98144923
0.92658666,0.84256097
0.92771805,0.85138606
1.02080987,0.95402691
1.15792539,0.83546020
1.06821860,0.83900738
1.21852141,1.17635580
0.94221131,0.63510265
0.83966109,0.78271126
1.07489635,0.93475771
0.97824128,0.75076190
0.98397138,0.84948519
1.21495927,1.03269914
0.78525553,1.17705196
1.14794382,0.72305314
1.10475891,4.08774207
1.50150188,1.13922235
0.70677350,0.64804308
0.71006033,0.78198659
0.98042320,1.05555774
0.81904396,1.02443186
0.92869183,0.89036676
1.27231625,1.13702326
1.34844894,0.64544595
1.11619887,1.13615589
0.58981155,1.11332563
0.72844670,0.94119080
0.95333115,0.81782786
0.48009054,0.76550344
0.87264887,0.84242354
0.41697887,2.94968781
0.56723026,0.81682222
0.92623736,0.70453918
0.96679882,0.75616241
0.94473543,0.90285428
0.68328687,0.72759217
0.53603146,0.82447654
1.04425538,1.02473881
2.16036804,0.92185833
1.08331956,0.88100761
1.06723208,0.99474564
0.72804649,0.83540344
1.12192657,0.89519610
0.89466926,0.94068933
1.05674348,0.71142879
0.97535570,1.11619893
0.31697996,0.77513077
1.19273436,1.49656049
0.83869413,0.94014350
0.36068266,1.50119998
0.68913501,0.96897183
1.15077885,1.20744666
0.77556903,0.80536895
0.76511228,0.74047447
1.72568487,0.84289731
0.98860038,0.95546310
1.89112794,1.43312412
