"","spot_class","first_type","second_type","first_class","second_class","min_score","singlet_score","conv_all","conv_doublet"
"spot0.0","singlet","PT","UROTHELIUM",FALSE,FALSE,379.691603310187,380.879648156741,TRUE,TRUE
"spot0.1","singlet","VSM","TAL",FALSE,FALSE,225.174211484534,229.483577778022,TRUE,TRUE
"spot0.10","doublet_certain","PT","CCD",FALSE,FALSE,448.745143538426,484.606604524066,TRUE,TRUE
"spot0.11","singlet","CCD","VSM",FALSE,FALSE,364.733300095724,365.761925493912,TRUE,TRUE
"spot0.12","singlet","DCT","CCD",FALSE,FALSE,347.77375478317,350.170562038573,TRUE,TRUE
"spot0.13","singlet","IMMUNE","TAL",FALSE,FALSE,351.144546008388,355.704519662529,TRUE,TRUE
"spot0.14","singlet","IMMUNE","CCD",FALSE,FALSE,321.908978194868,325.205214121402,TRUE,TRUE
"spot0.15","singlet","IMMUNE","DCT",FALSE,FALSE,327.467620607485,339.29961458425,TRUE,TRUE
"spot0.16","doublet_uncertain","PT","ENDO",FALSE,FALSE,362.838020607302,392.94921550037,TRUE,TRUE
"spot0.17","singlet","DCT","PT",FALSE,FALSE,315.308590617253,325.624784031449,TRUE,TRUE
"spot0.18","singlet","PT","TAL",FALSE,FALSE,427.875564831926,428.644418806801,TRUE,TRUE
"spot0.19","singlet","VSM","TAL",FALSE,FALSE,275.064531681371,276.161115739889,TRUE,TRUE
"spot0.2","doublet_certain","VSM","TAL",FALSE,FALSE,299.856340910025,338.44953353074,TRUE,TRUE
"spot0.20","reject","ENDO","VSM",FALSE,FALSE,232.605620610543,282.605620610543,TRUE,TRUE
"spot0.21","singlet","ENDO","TAL",FALSE,FALSE,249.932500774803,268.169851081628,TRUE,TRUE
"spot0.22","doublet_certain","TAL","ENDO",FALSE,FALSE,300.840845265927,329.920477097465,TRUE,TRUE
"spot0.23","singlet","IMMUNE","DCT",FALSE,FALSE,380.548400305489,391.766322615912,TRUE,TRUE
"spot0.24","singlet","PT","TAL",FALSE,FALSE,414.848070064684,415.077404437963,TRUE,TRUE
"spot0.3","singlet","PT","CCD",FALSE,FALSE,351.714647184163,351.706062394752,TRUE,TRUE
"spot0.4","singlet","TAL","PT",FALSE,FALSE,330.363011727887,347.619749660552,TRUE,TRUE
"spot0.5","singlet","TAL","ENDO",FALSE,FALSE,273.183898762131,273.835980633146,TRUE,TRUE
"spot0.6","singlet","TAL","CCD",FALSE,FALSE,268.541010067441,271.097681717641,TRUE,TRUE
"spot0.7","singlet","PT","TAL",FALSE,FALSE,405.730263929799,419.067292550802,TRUE,TRUE
"spot0.8","reject","CCD","PT",FALSE,FALSE,351.983069583809,401.983069583809,TRUE,TRUE
"spot0.9","doublet_certain","PT","CCD",FALSE,FALSE,414.292566688992,439.737439235922,TRUE,TRUE
"spot1.0","singlet","CCD","PT",FALSE,FALSE,401.143531159033,413.247692658646,TRUE,TRUE
"spot1.1","singlet","PT","TAL",FALSE,FALSE,369.25002512152,378.554146609026,TRUE,TRUE
"spot1.10","singlet","PT","DCT",FALSE,FALSE,376.831862821722,378.299990717604,TRUE,TRUE
"spot1.11","singlet","TAL","IMMUNE",FALSE,FALSE,296.425431030904,300.0890468054,TRUE,TRUE
"spot1.12","singlet","DCT","TAL",FALSE,FALSE,300.41144005244,305.956053728478,TRUE,TRUE
"spot1.13","doublet_uncertain","TAL","PT",FALSE,FALSE,328.141012038555,365.93902411594,TRUE,TRUE
"spot1.14","singlet","IMMUNE","PT",FALSE,FALSE,351.647015874098,354.914923317471,TRUE,TRUE
"spot1.15","singlet","PT","CCD",FALSE,FALSE,418.935677063718,420.123278022694,TRUE,TRUE
"spot1.16","doublet_certain","PT","DCT",FALSE,FALSE,394.950327199628,421.503928997399,TRUE,TRUE
"spot1.17","singlet","DCT","PT",FALSE,FALSE,300.60132376651,301.096976355752,TRUE,TRUE
"spot1.18","doublet_certain","PT","CCD",FALSE,FALSE,406.749289664538,433.740753039457,TRUE,TRUE
"spot1.19","singlet","VSM","DCT",FALSE,FALSE,275.760525800501,277.873229524996,TRUE,TRUE
"spot1.2","reject","DCT","TAL",FALSE,FALSE,330.754262564522,380.754262564522,TRUE,TRUE
"spot1.20","singlet","DCT","VSM",FALSE,FALSE,293.217333251206,299.387867388116,TRUE,TRUE
"spot1.21","singlet","PT","TAL",FALSE,FALSE,428.449858739985,438.466483652116,TRUE,TRUE
"spot1.22","singlet","PT","TAL",FALSE,FALSE,356.877035777316,362.844183001344,TRUE,TRUE
"spot1.23","doublet_uncertain","TAL","IMMUNE",FALSE,FALSE,326.803644543807,357.558974516497,TRUE,TRUE
"spot1.24","singlet","TAL","IMMUNE",FALSE,FALSE,293.859906371885,315.603830318206,TRUE,TRUE
"spot1.3","doublet_certain","PT","DCT",FALSE,FALSE,372.542681930375,405.916294340584,TRUE,TRUE
"spot1.4","doublet_certain","PT","CCD",FALSE,FALSE,385.699885847734,412.063511095995,TRUE,TRUE
"spot1.5","doublet_uncertain","PT","TAL",FALSE,FALSE,346.815587958515,380.03380907151,TRUE,TRUE
"spot1.6","singlet","TAL","DCT",FALSE,FALSE,275.242676099646,291.825244321876,TRUE,TRUE
"spot1.7","doublet_uncertain","VSM","TAL",FALSE,FALSE,316.939433096036,352.682604875791,TRUE,TRUE
"spot1.8","singlet","PT","TAL",FALSE,FALSE,358.255691435282,368.321904889794,TRUE,TRUE
"spot1.9","doublet_certain","PT","ENDO",FALSE,FALSE,337.978997566811,372.877304104638,TRUE,TRUE
"spot10.0","singlet","PT","DCT",FALSE,FALSE,398.807153584843,406.924383623623,TRUE,TRUE
"spot10.1","singlet","DCT","PT",FALSE,FALSE,321.353901562859,326.959951563909,TRUE,TRUE
"spot10.10","singlet","PT","VSM",FALSE,FALSE,419.72370486192,432.074302626178,TRUE,TRUE
"spot10.11","singlet","PT","VSM",FALSE,FALSE,390.721526447932,391.257770273558,TRUE,TRUE
"spot10.12","singlet","PT","VSM",FALSE,FALSE,336.448660675803,338.866337415035,TRUE,TRUE
"spot10.13","doublet_certain","VSM","PT",FALSE,FALSE,338.948473994588,366.407454012619,TRUE,TRUE
"spot10.14","singlet","PT","UROTHELIUM",FALSE,FALSE,425.522076884022,426.094765288579,TRUE,TRUE
"spot10.15","singlet","PT","UROTHELIUM",FALSE,FALSE,335.756355721462,339.188690185919,TRUE,TRUE
"spot10.16","singlet","ENDO","PODS",FALSE,FALSE,216.375551324334,220.25787970689,TRUE,TRUE
"spot10.17","singlet","ENDO","TAL",FALSE,FALSE,268.532387088933,284.270588147235,TRUE,TRUE
"spot10.18","singlet","PT","ENDO",FALSE,FALSE,375.319282063365,376.174513509959,TRUE,TRUE
"spot10.19","singlet","PT","TAL",FALSE,FALSE,422.912008415799,439.510621909673,TRUE,TRUE
"spot10.2","singlet","PT","CCD",FALSE,FALSE,392.724588577929,396.054884391328,TRUE,TRUE
"spot10.20","reject","DCT","PT",FALSE,FALSE,348.850555459253,398.850555459253,TRUE,TRUE
"spot10.21","singlet","TAL","PT",FALSE,FALSE,320.43695085145,331.4640051907,TRUE,TRUE
"spot10.22","singlet","PT","DCT",FALSE,FALSE,398.820574764777,410.000120104115,TRUE,TRUE
"spot10.23","singlet","VSM","TAL",FALSE,FALSE,301.102594463874,323.437665414723,TRUE,TRUE
"spot10.24","singlet","TAL","PT",FALSE,FALSE,305.337949638893,308.446486586429,TRUE,TRUE
"spot10.3","doublet_certain","ENDO","PT",FALSE,FALSE,334.526209242472,376.587944226345,TRUE,TRUE
"spot10.4","doublet_uncertain","DCT","PT",FALSE,FALSE,395.970925166965,426.665633805357,TRUE,TRUE
"spot10.5","singlet","PT","DCT",FALSE,FALSE,407.36797868002,417.891588386282,TRUE,TRUE
"spot10.6","singlet","PT","TAL",FALSE,FALSE,409.061222891799,414.592062985983,TRUE,TRUE
"spot10.7","reject","TAL","VSM",FALSE,FALSE,260.935179715748,310.935179715748,TRUE,TRUE
"spot10.8","singlet","VSM","PODS",FALSE,FALSE,242.020151534876,243.626841129882,TRUE,TRUE
"spot10.9","singlet","IMMUNE","PT",FALSE,FALSE,360.277030771374,368.112482799483,TRUE,TRUE
"spot11.0","singlet","PT","DCT",FALSE,FALSE,394.887360585013,396.097625538437,TRUE,TRUE
"spot11.1","singlet","DCT","PT",FALSE,FALSE,355.740041026577,371.265755560418,TRUE,TRUE
"spot11.10","singlet","PT","ENDO",FALSE,FALSE,424.338365538434,430.729583967921,TRUE,TRUE
"spot11.11","doublet_certain","PT","TAL",FALSE,FALSE,354.929686243988,398.442094152739,TRUE,TRUE
"spot11.12","doublet_certain","VSM","TAL",FALSE,FALSE,345.760211108619,381.066355733969,TRUE,TRUE
"spot11.13","singlet","VSM","PT",FALSE,FALSE,322.502176798604,332.427839140087,TRUE,TRUE
"spot11.14","singlet","PT","TAL",FALSE,FALSE,437.08041816715,437.93265263886,TRUE,TRUE
"spot11.15","singlet","PT","ENDO",FALSE,FALSE,410.137651631085,410.80395127155,TRUE,TRUE
