"","spot_class","first_type","second_type","first_class","second_class","min_score","singlet_score","conv_all","conv_doublet"
"spot0.0","singlet","DCT","PT",FALSE,FALSE,328.031868299675,334.112675448064,TRUE,TRUE
"spot0.1","singlet","DCT","VSM",FALSE,FALSE,306.857581974216,307.960243925046,TRUE,TRUE
"spot0.10","singlet","PT","ENDO",FALSE,FALSE,409.787313384169,410.063441353078,TRUE,TRUE
"spot0.11","singlet","PT","TAL",FALSE,FALSE,369.543925014474,371.897779797519,TRUE,TRUE
"spot0.12","singlet","PT","TAL",FALSE,FALSE,395.826795692422,405.964041330454,TRUE,TRUE
"spot0.13","singlet","PT","CCD",FALSE,FALSE,397.495427372433,397.479456925397,TRUE,TRUE
"spot0.14","singlet","PT","TAL",FALSE,FALSE,357.7616704527,366.857981159755,TRUE,TRUE
"spot0.15","singlet","TAL","IMMUNE",FALSE,FALSE,299.875372597651,300.872882559737,TRUE,TRUE
"spot0.16","singlet","TAL","CCD",FALSE,FALSE,254.610395424016,254.596995715975,TRUE,TRUE
"spot0.17","singlet","VSM","PT",FALSE,FALSE,279.131726144777,287.265356762561,TRUE,TRUE
"spot0.18","singlet","ENDO","DCT",FALSE,FALSE,195.874878949626,197.885516870106,TRUE,TRUE
"spot0.19","doublet_uncertain","ENDO","PT",FALSE,FALSE,313.638793661687,334.084851002418,TRUE,TRUE
"spot0.2","singlet","DCT","PT",FALSE,FALSE,285.360230452038,292.28549827128,TRUE,TRUE
"spot0.20","singlet","PT","IMMUNE",FALSE,FALSE,359.781349763907,360.74246422725,TRUE,TRUE
"spot0.21","singlet","PT","DCT",FALSE,FALSE,364.862612439838,371.518546027936,TRUE,TRUE
"spot0.22","singlet","CCD","TAL",FALSE,FALSE,340.050153443842,358.523019699202,TRUE,TRUE
"spot0.23","singlet","PT","DCT",FALSE,FALSE,417.337736445826,420.526688644023,TRUE,TRUE
"spot0.24","doublet_certain","TAL","PT",FALSE,FALSE,310.513073541969,337.124043006685,TRUE,TRUE
"spot0.3","singlet","PT","ENDO",FALSE,FALSE,361.582467550978,364.191013235778,TRUE,TRUE
"spot0.4","singlet","PT","DCT",FALSE,FALSE,383.770517381666,386.701726344332,TRUE,TRUE
"spot0.5","singlet","CCD","PT",FALSE,FALSE,329.380483920217,333.152318367332,TRUE,TRUE
"spot0.6","singlet","PT","CCD",FALSE,FALSE,341.103944788889,356.199081173601,TRUE,TRUE
"spot0.7","singlet","PT","VSM",FALSE,FALSE,381.273200008921,384.288350824171,TRUE,TRUE
"spot0.8","singlet","VSM","CCD",FALSE,FALSE,277.577498153173,280.308382774991,TRUE,TRUE
"spot0.9","singlet","PT","VSM",FALSE,FALSE,379.689692162258,393.931392618039,TRUE,TRUE
"spot1.0","singlet","DCT","TAL",FALSE,FALSE,304.161295573421,304.639792270166,TRUE,TRUE
"spot1.1","singlet","DCT","CCD",FALSE,FALSE,279.428970532084,279.895785313378,TRUE,TRUE
"spot1.10","singlet","PT","VSM",FALSE,FALSE,410.990409543165,413.663493520904,TRUE,TRUE
"spot1.11","singlet","VSM","TAL",FALSE,FALSE,314.471397065129,331.579138438309,TRUE,TRUE
"spot1.12","doublet_certain","TAL","PT",FALSE,FALSE,351.432916472771,375.745938413316,TRUE,TRUE
"spot1.13","singlet","PT","DCT",FALSE,FALSE,381.695564958428,381.979149160537,TRUE,TRUE
"spot1.14","singlet","PT","CCD",FALSE,FALSE,371.091770443032,371.063399303589,TRUE,TRUE
"spot1.15","singlet","PT","TAL",FALSE,FALSE,391.824634506086,394.743269676047,TRUE,TRUE
"spot1.16","doublet_uncertain","PT","TAL",FALSE,FALSE,407.657655464227,431.683886849842,TRUE,TRUE
"spot1.17","singlet","PT","UROTHELIUM",FALSE,FALSE,373.875531738721,377.660950870776,TRUE,TRUE
"spot1.18","singlet","PT","ENDO",FALSE,FALSE,392.694541222752,411.000158300126,TRUE,TRUE
"spot1.19","singlet","TAL","PT",FALSE,FALSE,306.6517587666,315.779872917266,TRUE,TRUE
"spot1.2","doublet_certain","DCT","VSM",FALSE,FALSE,335.519958772108,367.142395113685,TRUE,TRUE
"spot1.20","singlet","PT","TAL",FALSE,FALSE,322.933578524134,340.866839018594,TRUE,TRUE
"spot1.21","singlet","PT","DCT",FALSE,FALSE,389.750213311713,407.743904017518,TRUE,TRUE
"spot1.22","singlet","TAL","ENDO",FALSE,FALSE,306.671295576829,313.822263398452,TRUE,TRUE
"spot1.23","singlet","PT","DCT",FALSE,FALSE,451.445273513054,470.900215060694,TRUE,TRUE
"spot1.24","doublet_uncertain","PT","DCT",FALSE,FALSE,354.953334653458,377.260939225321,TRUE,TRUE
"spot1.3","doublet_certain","PT","VSM",FALSE,FALSE,371.892035055864,395.485377098335,TRUE,TRUE
"spot1.4","singlet","PT","DCT",FALSE,FALSE,381.095268580951,382.357701009838,TRUE,TRUE
"spot1.5","singlet","CCD","PT",FALSE,FALSE,356.179079316913,358.970522320714,TRUE,TRUE
"spot1.6","singlet","ENDO","PT",FALSE,FALSE,237.982635142592,251.207239348924,TRUE,TRUE
"spot1.7","singlet","PT","TAL",FALSE,FALSE,415.431208818643,417.43291711442,TRUE,TRUE
"spot1.8","doublet_certain","PODS","PT",FALSE,FALSE,321.720380572694,344.542049028495,TRUE,TRUE
"spot1.9","singlet","PT","PODS",FALSE,FALSE,366.527964386864,371.637187815723,TRUE,TRUE
"spot10.0","singlet","DCT","UROTHELIUM",FALSE,FALSE,352.57498982296,369.970835569647,TRUE,TRUE
"spot10.1","reject","DCT","TAL",FALSE,FALSE,327.933680859029,367.933680859029,TRUE,TRUE
